cleaned_text,label
admin kartu kredit traveloka paylater tidak bisa di pakai di bl shopee dan tokped ya padahal sy coba di playstore dan paypal bsa itu,netral
shopee miskin kali yaa semua paylater dkurang inmana voucher freeong pakai shopeepay sama paylater doank lagi,negatif
paylater bikin kita gantung sama hutang limit yang paling gede liat dari sering dia belanja astaga kapitalis itu mantap ya,negatif
beli pulsa pakai paylater berbaagai jam sampai semuanya masih inprogress alias tidak masuk padahal saldo paylater sudah potong gimana ini,netral
paylater aku limit naik tuhan gjque tolong jangan jadi setan,negatif
nyata spaylater sama traveloka paylater masuk di slik lebih ati kalau ambil gituan ya teman sekarang kerecord slik ada cacat dikit saja repot nanti,negatif
biasa pakai gopaylater buat bayar gofood ngeganggu sekarang malas top atas saldo,positif
minsaya kapan hari ada tawar paylater card dari dan dalam proses dalam kirim ini sudah hampir minggu kok belum nyampek,netral
mbanking hanya sudah bikin kalap apalagi paylater,negatif
paylater ini untung dan rugi at buah same waktu ya nyata hadeee,netral
sudah lah ini akhir kali pakai paylater rasa seperti kejer debt collector memang dasar gasuka ngutang kalau memang tidak perlu sekali sih,negatif
teman aku hidup terkacaukan karena paylater,negatif
takut tidak bisa bayar refund orang sekarang fitur paylater dibatesin takut orang orang bales dendam terus pada kabur pasti,negatif
itu paylater kyu,netral
ngilangin tagih spaylater aduh gakmungkin jangan ada yang percaya sepertinya di tawarin jasa seperti gitu disebabkankarena sudah pasti nipu,negatif
kamu siap-pakai paylater bro boleh pinjam tidak bro buat beli tengah-tenga,netral
sepakat moga sampai tua nanti aku tidak pernah libat sama cc asuransi paylater kpr dsb moga,negatif
aku pakai paylater nya gojek dari september sampai sekarang admin fee nya selalu soal bro dari limit rb jt ini pakai rb admin fee nya tetap ribu,netral
aku coba untuk bayar listrik tapi kok tidak bisa ini paylater nya atau karena pandemi jadi tidak boleh,negatif
cerita rekap nasil narik bulan januari di pecah pecah buat bayar cicil mobil shopee paylater dsb pas SOI.ASIA. kumpulin lumayan asngat ya hari fokus narik mobilAda daring hasil kotor di luar bensin telah buat bayar ini sebetulnya bensin pertamax masih ada sisa no.rekening jt,netral
belanja hedon di awal bulan pangkal kere di akhir bulan kecualiii kalau belanja pakai paylater jamin sampai akhir bulan masih aman itu keluar cicil aku pakai kredivo uang atur karena uang tidak langsung habis benerbener sefleksibelitu buat semua butuh,positif
lumayan sekali paylater bantu belanja pas dompet lagi berdompet,positif
belanja admin k sama bayar pakai gopay paylater nnt diskon bisa sampai rbuan,positif
kenapa paylater aku kok di beku padahal lama tersebutdilakukan aku tidaklah pernah telat bayar lunas,negatif
serius tanya ada yang pakai shopee terus limit shopee paylater kalian brp di aku kok jd rb ya,netral
aku yang punya hasil sendiri saja tidak berani pakai paylater,netral
